t_epoch,topic,value
1786391901.762792,/costmap_app/obstacle_detected,False
1786391901.764122,/cmd_vel,0.0000
1786391901.789891,/costmap_app/stop_active,False
1786391901.815216,/cmd_vel,0.0000
1786391901.866333,/cmd_vel,0.0000
1786391901.889169,/costmap_app/stop_active,False
1786391901.907864,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.019
1786391901.914160,/cmd_vel,0.0000
1786391901.963169,/costmap_app/obstacle_detected,False
1786391901.964616,/cmd_vel,0.0000
1786391901.987889,/costmap_app/stop_active,False
1786391902.015311,/cmd_vel,0.0000
1786391902.062067,/costmap_app/obstacle_detected,False
1786391902.064921,/cmd_vel,0.0000
1786391902.089203,/costmap_app/stop_active,False
